class,cap-shape,cap-surface,cap-color,odor,spore-print-color,population,,,,
poisonous,flat,smooth,brown,pungent,black,scattered,,,,
edible,convex,fibrous,brown,none,brown,solitary,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
edible,convex,fibrous,white,none,brown,abundant,,,,
edible,flat,smooth,gray,none,black,scattered,,,,
edible,flat,smooth,brown,none,black,abundant,,,,
edible,convex,scaly,yellow,almond,black,scattered,,,,
edible,convex,fibrous,white,almond,purple,several,,,,
edible,flat,fibrous,gray,none,brown,abundant,,,,
edible,flat,fibrous,brown,none,brown,abundant,,,,
edible,flat,fibrous,brown,none,brown,scattered,,,,
edible,bell,scaly,yellow,almond,black,scattered,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
edible,convex,scaly,white,anise,brown,scattered,,,,
edible,flat,smooth,white,none,black,scattered,,,,
edible,convex,smooth,white,none,brown,abundant,,,,
edible,convex,fibrous,brown,none,brown,scattered,,,,
edible,convex,smooth,brown,none,brown,abundant,,,,
edible,convex,smooth,brown,none,brown,scattered,,,,
edible,convex,scaly,brown,none,brown,solitary,,,,
edible,flat,smooth,gray,none,black,scattered,,,,
edible,convex,scaly,yellow,almond,black,numerous,,,,
edible,convex,smooth,white,none,black,abundant,,,,
poisonous,flat,scaly,white,pungent,black,scattered,,,,
edible,flat,smooth,white,none,brown,scattered,,,,
poisonous,flat,smooth,white,pungent,brown,scattered,,,,
edible,flat,smooth,gray,none,black,scattered,,,,
edible,flat,fibrous,gray,none,brown,scattered,,,,
poisonous,convex,smooth,white,pungent,brown,scattered,,,,
edible,convex,smooth,gray,none,black,abundant,,,,
poisonous,convex,smooth,white,pungent,brown,scattered,,,,
edible,convex,smooth,gray,none,brown,scattered,,,,
edible,flat,smooth,white,none,black,scattered,,,,
poisonous,flat,scaly,white,pungent,brown,several,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,convex,fibrous,white,none,brown,scattered,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,convex,scaly,red,none,black,solitary,,,,
poisonous,flat,smooth,brown,pungent,black,scattered,,,,
edible,flat,fibrous,gray,none,black,scattered,,,,
edible,convex,scaly,yellow,almond,black,solitary,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
edible,flat,fibrous,brown,none,black,abundant,,,,
edible,bell,smooth,white,anise,black,numerous,,,,
edible,flat,smooth,gray,none,black,abundant,,,,
edible,flat,fibrous,white,none,black,abundant,,,,
edible,flat,fibrous,brown,none,brown,abundant,,,,
poisonous,flat,smooth,brown,pungent,brown,scattered,,,,
edible,convex,smooth,brown,none,brown,abundant,,,,
edible,bell,scaly,yellow,almond,black,numerous,,,,
edible,flat,smooth,gray,none,brown,abundant,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,convex,fibrous,gray,none,brown,abundant,,,,
edible,flat,smooth,gray,none,black,scattered,,,,
edible,convex,fibrous,brown,none,black,abundant,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,bell,scaly,white,anise,brown,numerous,,,,
edible,convex,fibrous,gray,none,brown,several,,,,
poisonous,flat,scaly,brown,pungent,black,scattered,,,,
edible,convex,smooth,white,none,brown,abundant,,,,
poisonous,flat,smooth,brown,pungent,black,several,,,,
edible,flat,smooth,brown,none,brown,abundant,,,,
edible,flat,fibrous,brown,none,black,abundant,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
edible,convex,smooth,yellow,anise,black,scattered,,,,
edible,flat,smooth,white,none,black,abundant,,,,
edible,convex,smooth,white,none,black,scattered,,,,
poisonous,convex,scaly,brown,pungent,black,several,,,,
edible,flat,fibrous,gray,none,black,abundant,,,,
poisonous,flat,scaly,brown,pungent,black,scattered,,,,
edible,flat,fibrous,white,none,black,abundant,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,convex,fibrous,gray,none,black,scattered,,,,
poisonous,flat,smooth,brown,pungent,brown,several,,,,
edible,flat,smooth,gray,none,black,scattered,,,,
poisonous,convex,smooth,white,pungent,brown,several,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,convex,fibrous,brown,none,brown,scattered,,,,
edible,convex,scaly,yellow,almond,brown,scattered,,,,
edible,flat,fibrous,white,none,black,scattered,,,,
edible,flat,smooth,white,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,brown,scattered,,,,
edible,flat,fibrous,gray,none,black,scattered,,,,
edible,flat,fibrous,white,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,black,scattered,,,,
edible,flat,fibrous,gray,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,brown,several,,,,
edible,convex,smooth,gray,none,black,abundant,,,,
edible,flat,smooth,gray,none,black,scattered,,,,
edible,convex,scaly,brown,anise,brown,scattered,,,,
edible,convex,scaly,gray,none,black,solitary,,,,
edible,flat,smooth,gray,none,black,abundant,,,,
edible,flat,fibrous,white,none,brown,scattered,,,,
edible,flat,smooth,brown,none,brown,abundant,,,,
edible,flat,fibrous,white,none,black,scattered,,,,
edible,flat,fibrous,brown,none,black,abundant,,,,
edible,flat,smooth,gray,none,black,abundant,,,,
edible,convex,smooth,brown,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,brown,solitary,,,,
edible,convex,smooth,brown,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,black,abundant,,,,
edible,flat,smooth,white,none,brown,abundant,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
poisonous,flat,smooth,white,pungent,black,scattered,,,,
poisonous,flat,smooth,brown,pungent,brown,several,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,convex,smooth,white,none,brown,abundant,,,,
edible,flat,fibrous,gray,none,brown,abundant,,,,
edible,convex,smooth,brown,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,brown,scattered,,,,
edible,convex,smooth,gray,none,black,scattered,,,,
edible,flat,fibrous,gray,none,black,abundant,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
edible,flat,smooth,gray,none,black,abundant,,,,
edible,convex,fibrous,red,none,black,several,,,,
poisonous,flat,scaly,white,pungent,brown,several,,,,
edible,convex,fibrous,brown,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
poisonous,flat,smooth,brown,pungent,brown,scattered,,,,
poisonous,flat,smooth,white,pungent,black,several,,,,
poisonous,flat,smooth,white,pungent,black,scattered,,,,
edible,flat,fibrous,white,none,brown,abundant,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
edible,flat,fibrous,brown,none,black,abundant,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,flat,smooth,brown,none,black,abundant,,,,
poisonous,flat,smooth,white,pungent,brown,several,,,,
poisonous,flat,smooth,white,pungent,black,several,,,,
edible,flat,smooth,gray,none,brown,abundant,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,convex,smooth,brown,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,flat,fibrous,white,none,black,abundant,,,,
edible,flat,fibrous,white,none,brown,scattered,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,convex,smooth,yellow,anise,brown,numerous,,,,
edible,flat,smooth,gray,none,brown,abundant,,,,
edible,convex,smooth,white,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
edible,convex,smooth,white,none,brown,scattered,,,,
edible,convex,smooth,brown,none,black,scattered,,,,
edible,convex,smooth,gray,none,brown,scattered,,,,
edible,convex,smooth,gray,none,black,scattered,,,,
edible,flat,smooth,white,none,brown,scattered,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,flat,fibrous,gray,none,brown,scattered,,,,
edible,flat,fibrous,white,none,black,scattered,,,,
edible,convex,fibrous,white,none,brown,abundant,,,,
edible,flat,fibrous,gray,none,black,scattered,,,,
edible,convex,fibrous,gray,none,black,abundant,,,,
edible,convex,scaly,yellow,almond,black,numerous,,,,
edible,convex,smooth,yellow,anise,black,numerous,,,,
edible,convex,smooth,white,none,black,abundant,,,,
poisonous,convex,scaly,brown,pungent,black,scattered,,,,
edible,convex,fibrous,white,none,brown,scattered,,,,
poisonous,convex,smooth,white,pungent,black,scattered,,,,
edible,convex,scaly,gray,none,brown,several,,,,
poisonous,flat,smooth,white,pungent,black,several,,,,
edible,convex,scaly,yellow,anise,brown,scattered,,,,
edible,convex,scaly,white,anise,brown,numerous,,,,
edible,flat,scaly,brown,anise,brown,solitary,,,,
edible,convex,smooth,white,none,brown,scattered,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,convex,smooth,gray,none,black,abundant,,,,
edible,convex,smooth,white,none,black,abundant,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
edible,flat,smooth,brown,none,black,abundant,,,,
edible,convex,smooth,gray,none,black,scattered,,,,
edible,bell,smooth,white,anise,brown,numerous,,,,
edible,convex,smooth,gray,none,black,scattered,,,,
edible,convex,smooth,yellow,anise,black,scattered,,,,
poisonous,flat,scaly,white,pungent,black,several,,,,
edible,flat,smooth,white,none,black,scattered,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,flat,smooth,gray,none,brown,scattered,,,,
edible,flat,fibrous,gray,none,brown,scattered,,,,
edible,convex,scaly,brown,none,brown,solitary,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
edible,convex,scaly,yellow,almond,brown,solitary,,,,
edible,convex,fibrous,gray,none,black,solitary,,,,
edible,flat,fibrous,gray,none,brown,abundant,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,flat,smooth,white,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,brown,abundant,,,,
edible,flat,smooth,white,none,black,scattered,,,,
edible,flat,fibrous,gray,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,brown,abundant,,,,
edible,convex,smooth,brown,none,brown,abundant,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
edible,flat,smooth,white,none,brown,scattered,,,,
edible,flat,fibrous,brown,none,black,scattered,,,,
poisonous,flat,scaly,brown,pungent,black,scattered,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
edible,flat,fibrous,white,none,black,scattered,,,,
poisonous,flat,scaly,brown,pungent,brown,several,,,,
edible,flat,fibrous,gray,none,black,scattered,,,,
edible,convex,fibrous,gray,none,black,several,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,convex,fibrous,gray,none,black,scattered,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,convex,smooth,gray,none,brown,abundant,,,,
edible,flat,fibrous,white,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,black,solitary,,,,
edible,convex,scaly,white,anise,black,numerous,,,,
edible,convex,scaly,white,anise,brown,numerous,,,,
edible,flat,smooth,gray,none,brown,scattered,,,,
edible,flat,smooth,white,none,black,abundant,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,flat,smooth,white,none,black,abundant,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
edible,convex,smooth,brown,none,brown,scattered,,,,
edible,bell,scaly,yellow,almond,brown,numerous,,,,
poisonous,flat,scaly,white,pungent,black,several,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,convex,scaly,brown,almond,black,scattered,,,,
edible,convex,smooth,gray,none,brown,abundant,,,,
edible,flat,smooth,white,none,brown,abundant,,,,
poisonous,convex,smooth,brown,pungent,black,several,,,,
edible,flat,smooth,gray,none,black,abundant,,,,
edible,convex,fibrous,white,none,brown,scattered,,,,
poisonous,flat,smooth,brown,pungent,black,several,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,flat,smooth,white,none,black,scattered,,,,
poisonous,flat,smooth,white,pungent,brown,several,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,flat,fibrous,brown,none,brown,scattered,,,,
edible,flat,smooth,gray,none,brown,scattered,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,flat,scaly,brown,anise,brown,solitary,,,,
poisonous,flat,smooth,white,pungent,brown,scattered,,,,
edible,convex,fibrous,white,none,brown,abundant,,,,
edible,flat,fibrous,brown,none,black,solitary,,,,
poisonous,flat,scaly,brown,pungent,brown,scattered,,,,
edible,flat,smooth,white,none,brown,scattered,,,,
edible,convex,fibrous,gray,none,brown,scattered,,,,
edible,flat,scaly,yellow,almond,brown,solitary,,,,
edible,convex,fibrous,white,none,brown,scattered,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
poisonous,flat,scaly,brown,pungent,brown,scattered,,,,
edible,flat,fibrous,brown,none,black,scattered,,,,
edible,flat,fibrous,gray,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,convex,smooth,gray,none,black,scattered,,,,
edible,convex,smooth,gray,none,black,abundant,,,,
edible,convex,fibrous,white,none,black,scattered,,,,
edible,flat,fibrous,gray,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
edible,convex,smooth,white,none,brown,scattered,,,,
poisonous,convex,smooth,white,pungent,brown,scattered,,,,
edible,flat,smooth,gray,none,brown,abundant,,,,
edible,convex,smooth,brown,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,convex,scaly,yellow,almond,brown,solitary,,,,
edible,convex,smooth,gray,none,black,abundant,,,,
edible,convex,fibrous,brown,none,black,abundant,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,convex,scaly,yellow,almond,brown,scattered,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
poisonous,flat,smooth,brown,pungent,brown,scattered,,,,
poisonous,flat,smooth,white,pungent,black,several,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,convex,fibrous,gray,none,brown,several,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,convex,smooth,white,none,black,abundant,,,,
poisonous,flat,smooth,white,pungent,black,scattered,,,,
edible,bell,smooth,yellow,almond,brown,scattered,,,,
edible,convex,fibrous,brown,none,black,abundant,,,,
poisonous,flat,scaly,brown,pungent,black,scattered,,,,
edible,convex,smooth,gray,none,black,abundant,,,,
edible,convex,smooth,gray,none,brown,scattered,,,,
edible,convex,smooth,white,none,black,scattered,,,,
poisonous,flat,smooth,white,pungent,brown,several,,,,
edible,flat,smooth,white,none,black,abundant,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
edible,flat,fibrous,brown,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
poisonous,flat,scaly,brown,pungent,black,several,,,,
edible,convex,fibrous,white,none,brown,scattered,,,,
edible,flat,smooth,white,none,brown,abundant,,,,
poisonous,flat,scaly,white,pungent,black,several,,,,
edible,flat,smooth,gray,none,black,abundant,,,,
edible,flat,scaly,brown,none,brown,several,,,,
edible,convex,fibrous,gray,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,black,several,,,,
edible,convex,scaly,brown,none,brown,several,,,,
edible,flat,fibrous,brown,none,brown,solitary,,,,
edible,flat,scaly,red,none,black,several,,,,
edible,flat,smooth,gray,none,brown,scattered,,,,
edible,convex,fibrous,gray,none,brown,solitary,,,,
edible,convex,scaly,gray,none,black,solitary,,,,
edible,convex,fibrous,gray,none,brown,scattered,,,,
poisonous,flat,smooth,brown,pungent,brown,scattered,,,,
edible,flat,fibrous,brown,none,black,several,,,,
poisonous,convex,smooth,brown,pungent,black,several,,,,
edible,convex,smooth,white,almond,brown,scattered,,,,
edible,convex,smooth,white,none,black,abundant,,,,
edible,convex,scaly,yellow,almond,brown,scattered,,,,
poisonous,convex,fibrous,gray,foul,chocolate,solitary,,,,
edible,flat,smooth,brown,none,brown,abundant,,,,
edible,flat,smooth,white,none,brown,scattered,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
poisonous,convex,smooth,white,pungent,black,several,,,,
edible,flat,fibrous,brown,none,brown,solitary,,,,
edible,convex,scaly,white,anise,brown,numerous,,,,
edible,flat,fibrous,gray,none,black,scattered,,,,
edible,convex,scaly,red,none,brown,several,,,,
edible,flat,fibrous,white,none,black,scattered,,,,
edible,convex,smooth,gray,none,brown,abundant,,,,
edible,convex,scaly,brown,none,black,several,,,,
edible,convex,scaly,gray,none,brown,solitary,,,,
edible,convex,fibrous,gray,none,black,several,,,,
edible,flat,smooth,white,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,black,several,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,convex,fibrous,red,none,brown,several,,,,
edible,convex,scaly,brown,none,brown,solitary,,,,
edible,flat,fibrous,white,none,brown,scattered,,,,
edible,convex,scaly,brown,none,black,solitary,,,,
edible,convex,smooth,gray,none,black,scattered,,,,
edible,convex,fibrous,gray,none,black,abundant,,,,
edible,flat,fibrous,white,none,brown,abundant,,,,
edible,convex,scaly,gray,none,black,several,,,,
poisonous,flat,scaly,brown,pungent,brown,scattered,,,,
edible,convex,scaly,red,none,black,several,,,,
edible,flat,fibrous,white,none,black,scattered,,,,
edible,flat,smooth,gray,none,brown,abundant,,,,
edible,convex,scaly,gray,none,brown,several,,,,
edible,flat,fibrous,gray,none,black,several,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,flat,fibrous,red,none,black,several,,,,
edible,convex,smooth,white,none,brown,abundant,,,,
edible,convex,fibrous,red,none,brown,several,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,convex,fibrous,gray,none,black,solitary,,,,
edible,convex,fibrous,brown,none,brown,solitary,,,,
edible,convex,fibrous,yellow,almond,brown,several,,,,
edible,convex,fibrous,red,none,brown,several,,,,
poisonous,flat,smooth,white,pungent,brown,several,,,,
edible,convex,smooth,white,none,black,scattered,,,,
edible,convex,fibrous,red,none,brown,solitary,,,,
edible,convex,scaly,brown,none,black,several,,,,
edible,convex,fibrous,white,none,black,abundant,,,,
edible,convex,fibrous,gray,none,brown,solitary,,,,
edible,convex,smooth,gray,none,brown,scattered,,,,
edible,convex,scaly,red,none,brown,solitary,,,,
edible,convex,scaly,brown,none,brown,several,,,,
edible,convex,smooth,white,none,black,abundant,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,convex,smooth,white,none,black,scattered,,,,
edible,convex,smooth,brown,none,black,scattered,,,,
edible,flat,fibrous,red,none,brown,solitary,,,,
edible,flat,fibrous,white,none,black,abundant,,,,
edible,flat,fibrous,gray,none,black,abundant,,,,
edible,convex,scaly,red,none,brown,several,,,,
edible,convex,fibrous,red,none,brown,solitary,,,,
edible,convex,scaly,gray,none,brown,several,,,,
edible,convex,fibrous,red,none,black,solitary,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
edible,convex,smooth,white,none,black,abundant,,,,
edible,convex,smooth,white,none,black,abundant,,,,
edible,convex,fibrous,white,none,brown,abundant,,,,
edible,convex,fibrous,red,none,brown,several,,,,
edible,convex,fibrous,brown,none,brown,solitary,,,,
edible,flat,fibrous,brown,none,black,several,,,,
edible,flat,fibrous,white,anise,brown,several,,,,
edible,flat,fibrous,white,none,black,abundant,,,,
poisonous,flat,scaly,white,pungent,black,scattered,,,,
edible,flat,fibrous,gray,none,black,several,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,convex,smooth,white,none,brown,abundant,,,,
edible,convex,fibrous,white,none,brown,abundant,,,,
edible,convex,smooth,brown,none,brown,abundant,,,,
edible,convex,fibrous,brown,none,brown,abundant,,,,
edible,convex,smooth,gray,none,brown,abundant,,,,
edible,convex,scaly,brown,none,brown,several,,,,
edible,convex,fibrous,brown,none,brown,solitary,,,,
edible,flat,smooth,gray,none,brown,scattered,,,,
edible,flat,smooth,brown,none,black,abundant,,,,
edible,convex,smooth,gray,none,brown,scattered,,,,
edible,flat,fibrous,gray,none,black,solitary,,,,
edible,convex,smooth,white,none,brown,abundant,,,,
edible,flat,fibrous,brown,none,brown,abundant,,,,
edible,flat,smooth,white,none,black,scattered,,,,
edible,convex,fibrous,gray,none,brown,scattered,,,,
edible,flat,fibrous,brown,none,brown,abundant,,,,
edible,flat,fibrous,brown,none,black,abundant,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,flat,smooth,gray,none,black,abundant,,,,
edible,flat,smooth,white,none,brown,scattered,,,,
edible,convex,scaly,red,none,black,several,,,,
edible,convex,scaly,gray,none,black,several,,,,
edible,convex,scaly,red,none,black,several,,,,
edible,convex,fibrous,gray,none,black,scattered,,,,
edible,flat,fibrous,gray,none,brown,abundant,,,,
edible,flat,scaly,yellow,anise,brown,solitary,,,,
poisonous,flat,scaly,white,pungent,black,several,,,,
edible,flat,smooth,brown,none,black,abundant,,,,
edible,flat,fibrous,brown,none,black,scattered,,,,
edible,flat,fibrous,brown,none,black,several,,,,
edible,convex,fibrous,red,none,black,solitary,,,,
edible,flat,fibrous,gray,none,brown,abundant,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
edible,convex,fibrous,gray,none,brown,scattered,,,,
edible,convex,scaly,red,none,brown,several,,,,
edible,flat,fibrous,brown,none,black,several,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
edible,convex,fibrous,brown,none,black,abundant,,,,
edible,flat,smooth,white,none,black,scattered,,,,
edible,flat,smooth,gray,none,black,scattered,,,,
poisonous,flat,scaly,white,pungent,black,scattered,,,,
edible,bell,smooth,white,almond,brown,scattered,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,flat,fibrous,gray,none,black,abundant,,,,
edible,convex,fibrous,brown,none,brown,scattered,,,,
edible,convex,smooth,brown,none,brown,scattered,,,,
edible,flat,smooth,white,anise,purple,several,,,,
edible,convex,fibrous,white,none,brown,abundant,,,,
edible,convex,smooth,white,none,black,abundant,,,,
edible,convex,smooth,gray,none,black,scattered,,,,
edible,convex,scaly,red,none,black,several,,,,
edible,flat,fibrous,brown,none,black,several,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,flat,fibrous,white,none,black,scattered,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
poisonous,flat,smooth,white,pungent,brown,several,,,,
edible,flat,fibrous,brown,none,brown,scattered,,,,
edible,convex,scaly,gray,none,brown,solitary,,,,
edible,convex,scaly,gray,none,brown,several,,,,
edible,convex,fibrous,gray,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,brown,several,,,,
edible,convex,scaly,red,none,brown,several,,,,
edible,convex,fibrous,gray,none,black,solitary,,,,
edible,convex,fibrous,gray,none,brown,several,,,,
edible,convex,fibrous,brown,none,black,several,,,,
poisonous,convex,smooth,white,pungent,black,several,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
edible,convex,scaly,brown,none,brown,several,,,,
edible,convex,fibrous,gray,none,brown,solitary,,,,
poisonous,flat,scaly,brown,pungent,brown,scattered,,,,
edible,convex,fibrous,gray,none,black,solitary,,,,
edible,convex,fibrous,gray,none,black,scattered,,,,
edible,convex,fibrous,red,none,black,several,,,,
edible,flat,fibrous,brown,none,brown,scattered,,,,
edible,flat,smooth,white,none,brown,abundant,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,convex,scaly,red,none,brown,several,,,,
edible,flat,smooth,brown,none,black,scattered,,,,
edible,flat,fibrous,brown,none,brown,several,,,,
edible,flat,smooth,white,none,black,scattered,,,,
edible,convex,fibrous,brown,none,black,abundant,,,,
edible,flat,fibrous,brown,none,brown,scattered,,,,
poisonous,convex,smooth,brown,pungent,black,several,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
poisonous,flat,scaly,white,pungent,brown,scattered,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,convex,fibrous,gray,none,brown,solitary,,,,
edible,flat,fibrous,brown,none,brown,abundant,,,,
edible,convex,fibrous,red,none,black,several,,,,
edible,flat,fibrous,white,none,brown,scattered,,,,
edible,convex,fibrous,white,none,black,scattered,,,,
edible,convex,scaly,white,anise,black,numerous,,,,
edible,convex,smooth,white,none,brown,scattered,,,,
edible,convex,scaly,gray,none,brown,several,,,,
edible,convex,fibrous,gray,none,black,solitary,,,,
edible,convex,smooth,gray,none,brown,abundant,,,,
poisonous,flat,scaly,white,pungent,brown,scattered,,,,
edible,convex,fibrous,red,none,brown,several,,,,
poisonous,flat,smooth,brown,pungent,black,scattered,,,,
poisonous,flat,scaly,brown,pungent,brown,several,,,,
edible,convex,fibrous,gray,none,brown,several,,,,
edible,flat,smooth,brown,none,brown,abundant,,,,
edible,convex,fibrous,gray,none,brown,solitary,,,,
edible,convex,fibrous,brown,none,black,abundant,,,,
edible,convex,fibrous,brown,none,brown,solitary,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
edible,flat,fibrous,brown,none,black,abundant,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,convex,smooth,brown,none,black,scattered,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,convex,scaly,red,none,brown,several,,,,
edible,flat,smooth,brown,none,black,abundant,,,,
edible,convex,fibrous,brown,none,black,solitary,,,,
poisonous,flat,scaly,white,pungent,brown,several,,,,
edible,convex,scaly,yellow,anise,brown,scattered,,,,
poisonous,flat,smooth,brown,pungent,black,scattered,,,,
edible,flat,fibrous,white,none,brown,scattered,,,,
edible,flat,fibrous,brown,none,black,abundant,,,,
poisonous,flat,smooth,brown,pungent,brown,several,,,,
edible,convex,smooth,brown,none,brown,abundant,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
edible,convex,fibrous,red,none,black,several,,,,
edible,flat,fibrous,brown,none,black,abundant,,,,
edible,convex,fibrous,white,none,brown,scattered,,,,
edible,flat,smooth,gray,none,brown,abundant,,,,
edible,flat,fibrous,white,none,black,scattered,,,,
edible,flat,smooth,yellow,almond,brown,several,,,,
edible,flat,fibrous,white,almond,brown,several,,,,
edible,flat,fibrous,brown,none,brown,abundant,,,,
edible,convex,fibrous,brown,none,brown,solitary,,,,
edible,convex,scaly,gray,none,black,solitary,,,,
edible,convex,fibrous,brown,none,brown,solitary,,,,
edible,convex,fibrous,brown,none,black,scattered,,,,
edible,convex,fibrous,gray,none,brown,solitary,,,,
edible,convex,fibrous,brown,none,black,several,,,,
edible,convex,fibrous,gray,none,black,abundant,,,,
edible,convex,fibrous,brown,none,brown,several,,,,
edible,convex,smooth,brown,none,black,abundant,,,,
edible,bell,scaly,white,anise,black,scattered,,,,
edible,convex,scaly,red,none,black,several,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
edible,convex,fibrous,red,none,black,solitary,,,,
edible,flat,scaly,brown,none,black,solitary,,,,
edible,convex,scaly,gray,none,black,several,,,,
edible,convex,smooth,gray,none,brown,abundant,,,,
edible,convex,smooth,brown,none,black,scattered,,,,
edible,convex,fibrous,gray,none,brown,abundant,,,,
edible,convex,smooth,gray,none,black,abundant,,,,
edible,convex,scaly,red,none,black,solitary,,,,
edible,flat,fibrous,gray,none,brown,solitary,,,,
edible,flat,fibrous,brown,none,black,solitary,,,,
edible,convex,fibrous,brown,none,brown,scattered,,,,
edible,flat,smooth,brown,none,brown,scattered,,,,
edible,convex,fibrous,white,none,black,scattered,,,,
edible,convex,scaly,yellow,almond,brown,scattered,,,,
edible,convex,fibrous,red,none,brown,several,,,,
